Date,Open,High,Low,Close,Adj Close,Volume
1/2/2015,172.199997,173,170.600006,173,147.50827,3963002
1/5/2015,173.5,178.5,172.199997,177.300003,151.174683,9582837
1/6/2015,175.300003,180,175.100006,177.600006,151.430466,8087451
1/7/2015,176.300003,180.899994,176.300003,179.300003,152.879959,9157889
1/8/2015,180.5,180.600006,177.300003,177.800003,151.600967,4857934
1/9/2015,179.5,179.699997,176.699997,177,150.918839,4501116
1/12/2015,178.300003,179.199997,176.399994,178.600006,152.283127,4731740
1/13/2015,178.800003,179.800003,178,179.399994,152.965225,4755353
1/14/2015,179.300003,179.899994,177.699997,177.899994,151.686264,4054415
1/15/2015,177.899994,178.800003,177.300003,178.199997,151.942032,4165901
1/16/2015,178.300003,178.699997,177.300003,177.399994,151.259918,2603830
1/19/2015,177,178,173.600006,174.699997,148.957779,7362837
1/20/2015,174,178.300003,174,176.300003,150.322021,4106882
1/21/2015,177,178.199997,176.199997,177.5,151.3452,4054662
1/22/2015,177.899994,179,177.600006,177.899994,151.686264,4739419
1/23/2015,179.600006,179.699997,178.399994,179.300003,152.879959,5399298
1/26/2015,179.399994,182,178.100006,181.800003,155.011597,8691249
1/27/2015,182,182,180,180.100006,153.562088,5476881
1/28/2015,180,181.5,179.199997,179.399994,152.965225,3488977
1/29/2015,178.899994,180.600006,177.899994,178.300003,152.027313,3584635
1/30/2015,179.300003,180,178.199997,178.600006,152.283127,3995925
2/2/2015,178.600006,179.100006,177.899994,179.100006,152.709442,3329960
2/3/2015,180,180,177.5,178.699997,152.368378,2521756
2/4/2015,179.5,179.899994,177.399994,178.300003,152.027313,2507849
2/5/2015,179.699997,180,176.5,178,151.771515,3872452
2/6/2015,178.800003,178.800003,177,177.699997,151.515732,1607862
2/9/2015,177,177.600006,176.100006,177,150.918839,2442824
2/10/2015,177.5,177.5,174.100006,176.5,150.492523,3627605
2/11/2015,176.600006,177.199997,175.300003,175.600006,149.725159,2812846
2/12/2015,175.600006,177,175.300003,176.100006,150.151489,3137699
2/13/2015,176.899994,176.899994,175.5,176.300003,150.322021,2726814
2/16/2015,177,178,176.5,176.699997,150.663101,1407702
2/17/2015,177.5,178,176.5,177.300003,151.174683,1940596
2/18/2015,177.5,178.199997,176.899994,177.100006,151.004135,1437927
2/23/2015,178.600006,178.600006,176,177.600006,151.430466,2495095
2/24/2015,176.699997,177.899994,176.699997,177.5,151.3452,1750838
2/25/2015,177.899994,178.300003,176.600006,177.600006,151.430466,2935681
2/26/2015,177.800003,180.100006,177,179.899994,153.391525,5910515
2/27/2015,180.300003,180.899994,178.399994,179,152.624161,4127378
3/2/2015,179.5,179.899994,178,179,152.624161,2925345
3/3/2015,179,179.199997,177.899994,178.199997,151.942032,2573565
3/4/2015,177.699997,178.800003,176.600006,177.300003,151.174683,3617570
3/5/2015,176.600006,178.300003,175.699997,175.800003,149.895691,4880813
3/6/2015,177.300003,177.300003,176,176.100006,150.151489,3455888
3/9/2015,175,176.899994,174.899994,176.300003,150.322021,2870676
3/10/2015,177,177.100006,175.300003,175.800003,149.895691,2730116
3/11/2015,174.5,176.899994,174.5,175.300003,149.46936,2227305
3/12/2015,176.399994,176.399994,175.199997,175.600006,149.725159,2074106
3/13/2015,175.5,176.800003,175,175.100006,149.298859,2078448
3/16/2015,175,175.800003,174.100006,175,149.213577,2115730
3/17/2015,176.399994,176.399994,175,175.300003,149.46936,1783375
3/18/2015,175.699997,176.899994,174.899994,175.899994,149.980942,2812252
3/19/2015,177,177,176,176.399994,150.407288,2494869
3/20/2015,176.899994,177.600006,176,176.899994,150.833618,3099845
3/23/2015,177.899994,182,177.899994,182,155.182129,12021161
3/24/2015,182.600006,182.600006,180.100006,180.800003,154.158951,5629421
3/25/2015,181.5,181.5,179.399994,179.800003,153.306335,3201109
3/26/2015,179.100006,180.399994,177.800003,178.300003,152.027313,4501288
3/27/2015,179.5,179.5,178,178.800003,152.453659,2172350
3/30/2015,181,193.300003,180.699997,193,164.561264,40986829
3/31/2015,195,199.199997,189.699997,190,162.003311,22764135
4/1/2015,189.899994,196.5,189.899994,195.5,166.692886,13171938
4/2/2015,196.300003,197,194.899994,196,167.119202,9075569
4/8/2015,202,220,202,220,187.582748,44637745
4/9/2015,250,250,230,239.600006,204.294724,46069230
4/10/2015,245,249.399994,236,249,212.309586,32113967
4/13/2015,251,300,250.399994,297,253.23674,67789083
4/14/2015,288.399994,297.399994,282,285.600006,243.516571,42061860
4/15/2015,283,294.799988,283,285.200012,243.175476,23069198
4/16/2015,289,291.600006,278.399994,286.399994,244.198715,29487374
4/17/2015,286.600006,288.600006,283.200012,283.600006,241.811264,14161421
4/20/2015,288,288.399994,267.799988,272.600006,232.432129,28532345
4/21/2015,276,289.399994,276,286.600006,244.369171,20088030
4/22/2015,287.600006,295.600006,283.799988,294.399994,251.019852,19267845
4/23/2015,297,305.600006,295,296.799988,253.066223,22520776
4/24/2015,294,300.600006,286.399994,296,252.384109,17570273
4/27/2015,297.200012,303,296.600006,298.600006,254.601028,14411805
4/28/2015,298,299.799988,295.600006,297.799988,253.9189,7069302
4/29/2015,297.600006,298,292.200012,293.600006,250.337753,11462966
4/30/2015,293.399994,301.399994,292,296.600006,252.895676,12308554
5/4/2015,297,299.799988,293,294,252.509201,8834064
5/5/2015,296,296.399994,285.600006,289.200012,248.386627,15219822
5/6/2015,287,292.600006,285,286,245.638214,12157975
5/7/2015,285.799988,286,278.600006,280.200012,240.656754,17100212
5/8/2015,284.399994,285.799988,281,283.799988,243.748688,9549940
5/11/2015,287,290.200012,284,289.200012,248.386627,8546540
5/12/2015,286,289.399994,283.600006,284,243.920486,8437670
5/13/2015,285,285.600006,278.600006,278.799988,239.454269,13319804
5/14/2015,278.799988,278.799988,274.399994,275.799988,236.877701,12054370
5/15/2015,278.799988,292,276,289.600006,248.730179,17893423
5/18/2015,286,287,283,286.399994,245.981781,7237508
5/19/2015,287.399994,290.799988,284.600006,288.799988,248.043015,8719623
5/20/2015,288,291.799988,286.399994,288.399994,247.699493,7217203
5/21/2015,290,290.200012,286.399994,288.600006,247.871231,4914541
5/22/2015,290,294.600006,289,293.600006,252.165665,12763507
5/26/2015,311,311.399994,302.399994,309.399994,265.73584,23640738
5/27/2015,308,308.799988,304.200012,305.799988,262.64389,12982053
5/28/2015,309,309,295.799988,300.200012,257.834229,19176637
5/29/2015,298,300,291.399994,298.399994,256.288208,11469511
6/1/2015,297.799988,303.200012,295.200012,302,259.380219,9982667
6/2/2015,300,301.399994,294.200012,296.799988,254.913986,8180001
6/3/2015,298.600006,299,294.200012,294.399994,252.852753,6162885
6/4/2015,294,297.799988,291,294,252.509201,8494489
6/5/2015,294,295.600006,291,292,250.791458,5764547
6/8/2015,295,297,291.799988,293.600006,252.165665,6804633
6/9/2015,294.200012,294.600006,287,289.200012,248.386627,9060904
6/10/2015,292,292,282.399994,285.600006,245.294662,8687177
6/11/2015,287.600006,289.200012,285.600006,286.200012,245.809982,4913812
6/12/2015,287.399994,298,285.399994,296.600006,254.742264,11101697
6/15/2015,291.799988,293.600006,287,287.600006,247.012405,7453363
6/16/2015,284.799988,292,281.399994,283,243.061584,11122422
6/17/2015,284.399994,290,283.600006,285.399994,245.122879,7058421
6/18/2015,285,289.600006,283.200012,283.600006,243.576935,6851691
6/19/2015,286.399994,287.600006,283,283.200012,243.233353,6555592
6/22/2015,283.600006,285.399994,280.200012,283.600006,243.576935,7169881
6/23/2015,285,287.600006,283,286.600006,246.153488,7227897
6/24/2015,286.799988,288.799988,285.600006,286.799988,246.325256,3536153
6/25/2015,286.600006,288.799988,284.799988,286,245.638214,3966099
6/26/2015,284,287,281.399994,284.200012,244.092194,8601157
6/29/2015,281.799988,283.600006,263.399994,275,236.190567,26727990
6/30/2015,273.399994,280.200012,269.399994,273.600006,234.988129,19738632
7/2/2015,276,276,267,268.600006,230.693787,15808379
7/3/2015,268.799988,269,256.600006,259.799988,223.135651,20255226
7/6/2015,261,261.799988,223,235,201.835571,53285123
7/7/2015,237.199997,237.800003,218.399994,222,190.670197,38001748
7/8/2015,207,219.399994,196,203.399994,174.695129,48558167
7/9/2015,207.399994,233.800003,204.199997,233.600006,200.633179,37835907
7/10/2015,235.399994,244.800003,233.800003,239.199997,205.442871,23299920
7/13/2015,240,240.800003,230.199997,239.600006,205.786438,14710329
7/14/2015,240,241,230.600006,233.600006,200.633179,11081436
7/15/2015,233.800003,235.399994,225.600006,228,195.823471,7876901
7/16/2015,225.600006,232.199997,225,232,199.258972,5812310
7/17/2015,232.800003,239.199997,231,234.600006,201.49205,6724130
7/20/2015,235,236.800003,229.399994,231.199997,198.571869,5085987
7/21/2015,229.800003,232.399994,228,228.399994,196.167023,5220923
7/22/2015,225,227.600006,220,222.199997,190.84201,9123574
7/23/2015,220,222.600006,218.800003,222.399994,191.013748,6417983
7/24/2015,221,222,219.199997,220,188.952469,5370652
7/27/2015,216.399994,217,208,209.199997,179.676605,13563368
7/28/2015,209.199997,218.800003,205.399994,211.199997,181.394363,11305182
7/29/2015,212.399994,215.800003,209.199997,213,182.940338,7374985
